Player_Record_ID,Match_ID,Player_ID,Player_Name,Team,Position,Age,Minutes_Played,Goals,Assists,Pass_Accuracy,Tackles,Interceptions,Saves,Rating
PR28,M001,P28,Player_28,Italy,MF,28,33,0,0,97,0,2,0,8.7
PR29,M001,P29,Player_29,Italy,DF,40,85,0,0,90,1,6,0,7.5
PR30,M001,P30,Player_30,Italy,MF,21,6,0,0,72,8,2,0,8.9
PR31,M001,P31,Player_31,Italy,DF,38,60,0,0,94,7,5,0,5.1
PR32,M001,P32,Player_32,Italy,DF,39,100,0,0,79,0,2,0,5.2
PR33,M002,P33,Player_33,Portugal,MF,18,41,0,0,69,8,3,0,9.9
PR34,M002,P34,Player_34,Portugal,MF,25,5,0,0,98,3,2,0,6.1
PR35,M002,P35,Player_35,Portugal,MF,37,43,0,0,67,1,6,0,6.2
PR36,M002,P36,Player_36,Portugal,FW,40,57,0,0,74,5,1,0,7.0
PR37,M002,P37,Player_37,Portugal,MF,33,35,0,0,55,6,0,0,6.6
PR38,M002,P38,Player_38,Portugal,FW,22,70,0,0,68,5,0,0,4.5
PR39,M002,P39,Player_39,Portugal,MF,26,58,0,0,88,6,1,0,8.1
PR40,M002,P40,Player_40,Portugal,DF,18,94,0,0,72,6,2,0,7.8
PR41,M002,P41,Player_41,Portugal,MF,18,10,0,0,92,6,2,0,7.1
PR42,M002,P42,Player_42,Portugal,MF,22,4,0,0,59,7,0,0,4.8
PR43,M002,P43,Player_43,Portugal,DF,37,47,0,0,73,6,4,0,4.2
PR44,M002,P44,Player_44,Portugal,DF,31,48,0,0,73,7,6,0,4.5
PR45,M002,P45,Player_45,Portugal,DF,28,51,0,0,70,4,1,0,9.8
PR46,M002,P46,Player_46,Portugal,GK,22,64,0,0,83,6,4,1,5.6
PR47,M002,P47,Player_47,Portugal,DF,31,28,0,0,89,4,5,0,9.5
PR48,M002,P48,Player_48,Portugal,MF,20,18,0,0,54,7,1,0,9.4
PR49,M002,P49,Player_49,USA,DF,19,104,0,0,93,5,5,0,6.1
PR50,M002,P50,Player_50,USA,GK,34,38,0,0,69,2,5,10,5.0
PR51,M002,P51,Player_51,USA,DF,24,16,0,1,62,2,1,0,8.7
PR52,M002,P52,Player_52,USA,GK,34,74,0,0,73,7,6,8,4.8
PR53,M002,P53,Player_53,USA,FW,19,40,0,0,75,7,4,0,6.5
PR54,M002,P54,Player_54,USA,DF,35,10,0,0,58,5,5,0,4.4
PR55,M002,P55,Player_55,USA,MF,33,45,0,0,58,8,5,0,7.5
PR56,M002,P56,Player_56,USA,MF,21,56,1,0,82,0,6,0,4.7
PR57,M002,P57,Player_57,USA,DF,22,21,0,1,70,3,2,0,9.7
PR58,M002,P58,Player_58,USA,MF,26,109,0,1,55,4,1,0,7.8
PR59,M002,P59,Player_59,USA,MF,21,81,0,0,69,8,0,0,7.0
PR60,M002,P60,Player_60,USA,DF,35,20,0,0,60,5,6,0,9.5
PR61,M002,P61,Player_61,USA,GK,17,11,0,0,52,4,5,3,8.6
PR62,M002,P62,Player_62,USA,DF,37,4,0,0,81,8,2,0,7.9
PR63,M002,P63,Player_63,USA,DF,24,104,0,0,93,6,2,0,6.7
PR64,M002,P64,Player_64,USA,MF,22,57,1,1,76,7,3,0,5.2
PR65,M003,P65,Player_65,Morocco,MF,27,111,0,0,95,5,5,0,9.9
PR66,M003,P66,Player_66,Morocco,DF,29,17,0,0,98,5,4,0,7.4
PR67,M003,P67,Player_67,Morocco,DF,31,16,0,0,67,7,1,0,4.8
PR68,M003,P68,Player_68,Morocco,GK,29,111,0,0,89,6,1,2,8.9
PR69,M003,P69,Player_69,Morocco,FW,40,41,0,0,62,2,3,0,10.0
PR70,M003,P70,Player_70,Morocco,MF,26,64,0,1,51,1,3,0,7.0
PR71,M003,P71,Player_71,Morocco,FW,23,75,0,0,72,0,0,0,5.7
PR72,M003,P72,Player_72,Morocco,MF,37,87,0,0,80,4,4,0,4.0
PR73,M003,P73,Player_73,Morocco,DF,21,113,0,0,66,5,6,0,6.4
PR74,M003,P74,Player_74,Morocco,GK,18,73,0,0,85,3,2,8,5.7
PR75,M003,P75,Player_75,Morocco,DF,31,98,0,0,85,4,6,0,9.9
PR76,M003,P76,Player_76,Morocco,MF,20,17,1,0,56,6,2,0,8.8
PR77,M003,P77,Player_77,Morocco,DF,28,97,0,1,59,3,4,0,7.1
PR78,M003,P78,Player_78,Morocco,MF,18,5,0,0,58,5,6,0,6.8
PR79,M003,P79,Player_79,Morocco,MF,36,115,0,0,82,2,2,0,9.6
PR80,M003,P80,Player_80,Morocco,DF,29,79,1,0,97,4,4,0,6.0
PR81,M003,P81,Player_81,Belgium,FW,34,63,0,0,95,4,3,0,8.9
PR82,M003,P82,Player_82,Belgium,DF,38,15,0,0,76,4,6,0,9.4
PR83,M003,P83,Player_83,Belgium,FW,37,4,0,0,88,7,2,0,9.8
PR84,M003,P84,Player_84,Belgium,MF,35,74,0,0,64,0,4,0,6.9
PR85,M003,P85,Player_85,Belgium,MF,40,80,1,0,74,2,6,0,8.1
PR86,M003,P86,Player_86,Belgium,GK,39,15,0,0,62,0,3,5,6.5
PR87,M003,P87,Player_87,Belgium,DF,23,53,0,0,82,7,6,0,9.1
PR88,M003,P88,Player_88,Belgium,MF,39,18,0,0,83,3,4,0,6.0
PR89,M003,P89,Player_89,Belgium,MF,33,49,0,0,70,2,3,0,9.5
PR90,M003,P90,Player_90,Belgium,DF,28,87,1,0,96,4,4,0,6.9
PR91,M003,P91,Player_91,Belgium,FW,25,72,0,0,69,3,2,0,8.6
PR92,M003,P92,Player_92,Belgium,MF,39,91,0,0,81,5,3,0,6.1
PR93,M003,P93,Player_93,Belgium,FW,40,36,0,0,68,1,4,0,8.1
PR94,M003,P94,Player_94,Belgium,DF,29,105,0,0,72,2,2,0,4.3
PR95,M003,P95,Player_95,Belgium,FW,19,45,0,0,78,4,5,0,6.9
PR96,M003,P96,Player_96,Belgium,DF,34,35,0,0,85,4,1,0,4.7
PR97,M004,P97,Player_97,Ecuador,MF,24,32,0,0,53,8,1,0,7.8
PR98,M004,P98,Player_98,Ecuador,GK,30,43,0,0,95,7,0,10,8.6
PR99,M004,P99,Player_99,Ecuador,GK,34,119,0,0,60,6,5,7,6.9
PR100,M004,P100,Player_100,Ecuador,DF,26,42,0,0,68,0,6,0,4.5
PR101,M004,P101,Player_101,Ecuador,MF,34,95,0,0,96,0,1,0,6.5
PR102,M004,P102,Player_102,Ecuador,FW,18,108,0,0,75,7,1,0,9.6
PR103,M004,P103,Player_103,Ecuador,FW,26,113,0,0,52,0,2,0,7.4
PR104,M004,P104,Player_104,Ecuador,DF,27,37,0,1,79,8,4,0,7.0
PR105,M004,P105,Player_105,Ecuador,FW,33,60,0,0,67,3,6,0,4.7
PR106,M004,P106,Player_106,Ecuador,DF,31,83,0,0,66,2,0,0,8.4
PR107,M004,P107,Player_107,Ecuador,MF,35,87,0,0,98,3,1,0,7.7
PR108,M004,P108,Player_108,Ecuador,MF,29,106,0,0,77,8,2,0,4.5
PR109,M004,P109,Player_109,Ecuador,MF,22,18,0,0,80,5,1,0,4.0
PR110,M004,P110,Player_110,Ecuador,DF,31,97,0,0,67,5,2,0,7.5
PR111,M004,P111,Player_111,Ecuador,MF,25,84,0,0,73,3,0,0,8.0
PR112,M004,P112,Player_112,Ecuador,MF,22,52,0,0,93,8,5,0,8.6
PR113,M004,P113,Player_113,Portugal,MF,37,118,0,0,68,5,4,0,5.3
PR114,M004,P114,Player_114,Portugal,FW,32,20,0,0,79,5,3,0,8.2
PR115,M004,P115,Player_115,Portugal,FW,34,103,0,0,92,3,6,0,5.5
PR116,M004,P116,Player_116,Portugal,MF,19,68,0,1,78,8,5,0,6.2
PR117,M004,P117,Player_117,Portugal,FW,20,8,0,0,85,8,1,0,7.4
PR118,M004,P118,Player_118,Portugal,DF,27,110,0,0,83,7,0,0,8.1
PR119,M004,P119,Player_119,Portugal,MF,32,12,0,0,82,7,6,0,4.3
PR120,M004,P120,Player_120,Portugal,DF,30,59,0,0,86,0,4,0,6.8
PR121,M004,P121,Player_121,Portugal,MF,40,3,0,0,75,4,6,0,4.0
PR122,M004,P122,Player_122,Portugal,DF,19,6,0,0,77,5,5,0,4.4
PR123,M004,P123,Player_123,Portugal,FW,19,120,0,0,80,0,2,0,6.5
PR124,M004,P124,Player_124,Portugal,MF,37,94,0,0,91,6,2,0,10.0
PR125,M004,P125,Player_125,Portugal,DF,29,49,0,0,55,8,1,0,7.9
PR126,M004,P126,Player_126,Portugal,DF,22,69,0,0,75,8,1,0,8.4
PR127,M004,P127,Player_127,Portugal,DF,17,97,0,0,51,4,3,0,8.0
PR128,M004,P128,Player_128,Portugal,MF,34,49,1,0,64,3,3,0,6.1
PR129,M005,P129,Player_129,Ecuador,DF,40,98,0,0,57,0,6,0,8.0
PR130,M005,P130,Player_130,Ecuador,MF,17,31,0,0,63,1,0,0,7.6
PR131,M005,P131,Player_131,Ecuador,DF,38,91,0,0,53,3,5,0,4.3
PR132,M005,P132,Player_132,Ecuador,DF,34,28,0,1,98,0,1,0,7.0
PR133,M005,P133,Player_133,Ecuador,DF,40,74,1,0,70,5,1,0,5.8
PR134,M005,P134,Player_134,Ecuador,DF,38,67,0,0,64,6,2,0,5.7
PR135,M005,P135,Player_135,Ecuador,MF,35,113,0,0,97,2,5,0,8.1
PR136,M005,P136,Player_136,Ecuador,MF,18,45,0,0,91,6,6,0,7.1
PR137,M005,P137,Player_137,Ecuador,MF,30,20,0,0,69,6,1,0,8.5
PR138,M005,P138,Player_138,Ecuador,MF,24,39,0,0,95,2,6,0,6.8
PR139,M005,P139,Player_139,Ecuador,GK,30,54,0,0,85,8,1,6,5.5
PR140,M005,P140,Player_140,Ecuador,DF,37,11,1,0,78,5,0,0,7.2
PR141,M005,P141,Player_141,Ecuador,FW,18,35,0,0,74,0,6,0,4.4
PR142,M005,P142,Player_142,Ecuador,MF,35,93,0,0,92,8,1,0,6.9
PR143,M005,P143,Player_143,Ecuador,FW,27,39,0,0,50,3,1,0,9.8
PR144,M005,P144,Player_144,Ecuador,DF,32,118,0,0,65,3,3,0,9.5
PR145,M005,P145,Player_145,Morocco,MF,26,49,0,0,79,8,5,0,6.2
PR146,M005,P146,Player_146,Morocco,DF,33,113,0,0,81,7,0,0,8.8
PR147,M005,P147,Player_147,Morocco,MF,27,118,0,0,63,5,2,0,6.5
PR148,M005,P148,Player_148,Morocco,MF,24,95,0,0,59,0,2,0,7.3
PR149,M005,P149,Player_149,Morocco,MF,40,54,0,1,68,2,1,0,6.0
PR150,M005,P150,Player_150,Morocco,DF,24,64,0,0,85,5,2,0,8.6
PR151,M005,P151,Player_151,Morocco,MF,40,83,1,0,97,7,3,0,5.0
PR152,M005,P152,Player_152,Morocco,MF,22,18,0,0,96,8,3,0,5.1
PR153,M005,P153,Player_153,Morocco,FW,37,8,0,0,83,0,6,0,9.1
PR154,M005,P154,Player_154,Morocco,FW,38,7,0,0,98,0,3,0,4.8
PR155,M005,P155,Player_155,Morocco,MF,19,91,0,0,59,0,1,0,7.0
PR156,M005,P156,Player_156,Morocco,DF,36,82,0,0,92,7,5,0,6.9
PR157,M005,P157,Player_157,Morocco,GK,34,53,1,0,50,0,4,4,7.2
PR158,M005,P158,Player_158,Morocco,DF,33,105,0,0,94,6,6,0,9.6
PR159,M005,P159,Player_159,Morocco,DF,20,68,0,0,59,3,1,0,7.7
PR160,M005,P160,Player_160,Morocco,DF,28,35,1,0,75,1,2,0,9.8
PR161,M006,P161,Player_161,Costa Rica,MF,24,90,0,0,64,4,5,0,9.0
PR162,M006,P162,Player_162,Costa Rica,GK,37,98,0,0,52,1,3,6,6.3
PR163,M006,P163,Player_163,Costa Rica,MF,37,2,0,0,94,2,0,0,7.0
PR164,M006,P164,Player_164,Costa Rica,DF,27,73,0,0,56,8,0,0,5.4
PR165,M006,P165,Player_165,Costa Rica,FW,39,114,0,0,86,7,2,0,4.3
PR166,M006,P166,Player_166,Costa Rica,GK,25,116,0,0,84,0,1,5,4.1
PR167,M006,P167,Player_167,Costa Rica,DF,21,97,0,0,95,6,0,0,5.8
PR168,M006,P168,Player_168,Costa Rica,MF,35,107,0,0,74,8,2,0,6.3
PR169,M006,P169,Player_169,Costa Rica,MF,39,93,0,0,55,8,5,0,9.8
PR170,M006,P170,Player_170,Costa Rica,GK,30,30,0,0,54,5,4,9,9.7
PR171,M006,P171,Player_171,Costa Rica,DF,27,4,0,0,90,4,6,0,10.0
PR172,M006,P172,Player_172,Costa Rica,MF,28,71,0,0,74,6,1,0,8.1
PR173,M006,P173,Player_173,Costa Rica,MF,19,99,0,1,89,4,6,0,5.5
PR174,M006,P174,Player_174,Costa Rica,GK,25,20,0,0,74,2,5,6,5.9
PR175,M006,P175,Player_175,Costa Rica,DF,17,40,0,1,78,5,6,0,5.6
PR176,M006,P176,Player_176,Costa Rica,DF,22,56,0,0,78,8,4,0,7.1
PR177,M006,P177,Player_177,Tunisia,DF,19,46,0,0,85,1,4,0,7.6
PR178,M006,P178,Player_178,Tunisia,DF,29,2,1,1,68,6,3,0,8.7
PR179,M006,P179,Player_179,Tunisia,MF,34,116,0,1,65,8,1,0,8.1
PR180,M006,P180,Player_180,Tunisia,DF,25,39,0,0,67,7,1,0,4.4
PR181,M006,P181,Player_181,Tunisia,DF,30,39,0,0,80,1,2,0,5.5
PR182,M006,P182,Player_182,Tunisia,DF,37,64,0,0,88,3,3,0,4.6
PR183,M006,P183,Player_183,Tunisia,DF,29,43,0,0,89,6,6,0,9.2
PR184,M006,P184,Player_184,Tunisia,DF,30,105,0,0,91,2,2,0,5.9
PR185,M006,P185,Player_185,Tunisia,FW,23,62,0,0,70,2,3,0,9.8
PR186,M006,P186,Player_186,Tunisia,DF,39,82,1,0,81,3,2,0,6.3
PR187,M006,P187,Player_187,Tunisia,MF,29,47,0,0,57,3,4,0,10.0
PR188,M006,P188,Player_188,Tunisia,DF,34,4,0,0,96,7,5,0,5.3
PR189,M006,P189,Player_189,Tunisia,MF,39,9,0,0,76,7,1,0,7.8
PR190,M006,P190,Player_190,Tunisia,DF,38,20,1,0,95,6,6,0,6.3
PR191,M006,P191,Player_191,Tunisia,DF,36,62,0,0,87,6,4,0,7.0
PR192,M006,P192,Player_192,Tunisia,FW,39,54,0,0,84,0,6,0,9.8
PR193,M007,P193,Player_193,Poland,MF,34,77,0,1,90,1,0,0,8.6
PR194,M007,P194,Player_194,Poland,MF,28,22,0,0,91,0,4,0,9.9
PR195,M007,P195,Player_195,Poland,MF,29,97,0,0,71,6,0,0,4.1
PR196,M007,P196,Player_196,Poland,DF,33,96,0,0,83,8,4,0,8.1
PR197,M007,P197,Player_197,Poland,DF,28,51,0,0,79,8,1,0,6.1
PR198,M007,P198,Player_198,Poland,GK,20,38,1,0,76,1,0,2,6.1
PR199,M007,P199,Player_199,Poland,DF,23,67,1,0,80,5,3,0,4.6
PR200,M007,P200,Player_200,Poland,MF,31,41,0,0,54,4,0,0,8.9
PR201,M007,P201,Player_201,Poland,DF,27,83,0,0,56,2,5,0,5.5
PR202,M007,P202,Player_202,Poland,DF,22,43,0,0,85,6,3,0,5.4
PR203,M007,P203,Player_203,Poland,DF,22,24,0,0,90,6,3,0,4.2
PR204,M007,P204,Player_204,Poland,MF,23,58,0,0,87,6,3,0,4.0
PR205,M007,P205,Player_205,Poland,DF,25,97,0,0,95,1,4,0,4.6
PR206,M007,P206,Player_206,Poland,FW,22,47,0,0,70,3,3,0,4.7
PR207,M007,P207,Player_207,Poland,MF,32,68,0,0,90,5,4,0,6.3
PR208,M007,P208,Player_208,Poland,DF,20,45,0,0,72,7,4,0,5.0
PR209,M007,P209,Player_209,Morocco,MF,26,118,0,0,89,1,5,0,4.8
PR210,M007,P210,Player_210,Morocco,DF,26,15,0,0,61,5,5,0,4.8
PR211,M007,P211,Player_211,Morocco,DF,36,18,0,0,86,6,3,0,5.1
PR212,M007,P212,Player_212,Morocco,MF,39,118,0,0,91,2,4,0,5.0
PR213,M007,P213,Player_213,Morocco,DF,22,41,0,0,78,0,6,0,6.2
PR214,M007,P214,Player_214,Morocco,GK,21,25,0,0,74,8,4,10,7.0
PR215,M007,P215,Player_215,Morocco,MF,30,91,0,0,78,7,1,0,4.5
PR216,M007,P216,Player_216,Morocco,GK,24,38,0,0,52,4,1,8,5.7
PR217,M007,P217,Player_217,Morocco,MF,35,96,0,0,81,8,4,0,4.7
PR218,M007,P218,Player_218,Morocco,DF,34,106,0,0,73,8,6,0,8.5
PR219,M007,P219,Player_219,Morocco,MF,31,70,0,0,63,6,0,0,8.4
PR220,M007,P220,Player_220,Morocco,MF,24,39,0,0,52,7,2,0,6.1
PR221,M007,P221,Player_221,Morocco,MF,31,111,0,0,57,3,1,0,8.9
PR222,M007,P222,Player_222,Morocco,MF,28,111,1,0,95,6,1,0,7.7
PR223,M007,P223,Player_223,Morocco,MF,23,104,0,0,53,5,4,0,5.7
PR224,M007,P224,Player_224,Morocco,MF,27,91,0,0,68,4,4,0,5.6
PR225,M008,P225,Player_225,Venezuela,FW,38,105,0,1,56,2,6,0,8.7
PR226,M008,P226,Player_226,Venezuela,FW,25,111,0,1,91,2,5,0,9.2
PR227,M008,P227,Player_227,Venezuela,DF,39,42,0,0,65,6,3,0,4.9
PR228,M008,P228,Player_228,Venezuela,MF,37,54,0,0,74,7,0,0,7.8
PR229,M008,P229,Player_229,Venezuela,FW,19,52,0,0,82,4,5,0,9.6
PR230,M008,P230,Player_230,Venezuela,DF,32,42,0,0,87,0,6,0,8.6
PR231,M008,P231,Player_231,Venezuela,MF,40,59,0,0,90,5,6,0,4.4
PR232,M008,P232,Player_232,Venezuela,MF,23,55,0,0,63,7,2,0,5.9
PR233,M008,P233,Player_233,Venezuela,DF,34,74,0,0,58,7,6,0,6.1
PR234,M008,P234,Player_234,Venezuela,MF,18,6,0,0,56,7,0,0,4.7
PR235,M008,P235,Player_235,Venezuela,FW,31,59,0,0,50,6,1,0,10.0
PR236,M008,P236,Player_236,Venezuela,FW,37,39,0,0,60,4,0,0,7.9
PR237,M008,P237,Player_237,Venezuela,DF,28,86,0,0,91,2,0,0,6.4
PR238,M008,P238,Player_238,Venezuela,DF,39,97,1,0,64,6,5,0,4.5
PR239,M008,P239,Player_239,Venezuela,DF,23,62,0,0,54,2,4,0,5.4
PR240,M008,P240,Player_240,Venezuela,MF,17,2,0,0,94,5,6,0,4.7
PR241,M008,P241,Player_241,Paraguay,FW,39,17,1,0,80,1,1,0,6.3
PR242,M008,P242,Player_242,Paraguay,MF,20,14,0,0,70,5,2,0,4.8
PR243,M008,P243,Player_243,Paraguay,MF,21,83,0,0,93,2,0,0,7.2
PR244,M008,P244,Player_244,Paraguay,GK,37,22,0,0,78,5,5,3,7.8
PR245,M008,P245,Player_245,Paraguay,DF,30,79,0,1,93,7,6,0,5.3
PR246,M008,P246,Player_246,Paraguay,FW,21,97,0,0,57,6,2,0,9.8
PR247,M008,P247,Player_247,Paraguay,DF,21,32,0,0,67,1,1,0,7.3
PR248,M008,P248,Player_248,Paraguay,MF,36,37,0,0,94,0,6,0,9.1
PR249,M008,P249,Player_249,Paraguay,FW,23,67,0,0,88,8,1,0,8.5
PR250,M008,P250,Player_250,Paraguay,DF,18,101,0,0,65,7,3,0,4.7
PR251,M008,P251,Player_251,Paraguay,MF,36,10,0,0,83,0,2,0,9.6
PR252,M008,P252,Player_252,Paraguay,DF,35,54,0,0,73,8,5,0,5.0
PR253,M008,P253,Player_253,Paraguay,MF,19,3,0,0,87,1,0,0,5.6
PR254,M008,P254,Player_254,Paraguay,GK,18,102,0,0,75,8,2,10,8.3
PR255,M008,P255,Player_255,Paraguay,MF,30,90,0,0,75,1,5,0,7.2
PR256,M008,P256,Player_256,Paraguay,MF,25,11,0,0,69,1,4,0,9.5
PR257,M009,P257,Player_257,Ecuador,FW,21,69,0,0,70,6,4,0,7.8
PR258,M009,P258,Player_258,Ecuador,FW,38,83,1,0,54,4,5,0,6.6
PR259,M009,P259,Player_259,Ecuador,FW,24,8,0,0,65,1,3,0,4.7
PR260,M009,P260,Player_260,Ecuador,MF,18,40,0,0,92,2,0,0,4.1
PR261,M009,P261,Player_261,Ecuador,DF,17,21,0,1,81,5,4,0,7.1
PR262,M009,P262,Player_262,Ecuador,FW,25,22,0,0,73,2,5,0,8.7
PR263,M009,P263,Player_263,Ecuador,DF,20,99,0,0,51,5,6,0,6.6
PR264,M009,P264,Player_264,Ecuador,MF,25,92,0,0,86,1,3,0,6.7
PR265,M009,P265,Player_265,Ecuador,DF,32,110,0,0,86,2,2,0,4.9
PR266,M009,P266,Player_266,Ecuador,MF,35,87,0,0,96,1,1,0,8.4
PR267,M009,P267,Player_267,Ecuador,GK,17,32,0,0,52,7,2,6,9.5
PR268,M009,P268,Player_268,Ecuador,DF,18,71,0,0,95,6,1,0,5.9
PR269,M009,P269,Player_269,Ecuador,DF,40,41,0,0,67,1,4,0,6.2
PR270,M009,P270,Player_270,Ecuador,MF,18,23,0,0,64,8,0,0,9.7
PR271,M009,P271,Player_271,Ecuador,GK,31,111,0,0,68,4,2,1,7.3
PR272,M009,P272,Player_272,Ecuador,GK,23,38,0,0,86,4,5,9,5.5
PR273,M009,P273,Player_273,Saudi Arabia,DF,32,99,0,0,62,8,6,0,8.8
PR274,M009,P274,Player_274,Saudi Arabia,DF,30,4,1,0,64,8,2,0,7.8
PR275,M009,P275,Player_275,Saudi Arabia,MF,17,43,0,0,50,6,6,0,8.4
PR276,M009,P276,Player_276,Saudi Arabia,DF,23,68,0,0,65,6,3,0,9.8
PR277,M009,P277,Player_277,Saudi Arabia,FW,21,92,0,1,67,1,0,0,9.5
PR278,M009,P278,Player_278,Saudi Arabia,FW,33,53,0,0,94,5,3,0,9.8
PR279,M009,P279,Player_279,Saudi Arabia,GK,20,65,0,0,58,6,0,9,7.4
PR280,M009,P280,Player_280,Saudi Arabia,DF,21,31,0,0,68,4,6,0,5.9
PR281,M009,P281,Player_281,Saudi Arabia,MF,39,107,0,0,97,5,2,0,6.7
PR282,M009,P282,Player_282,Saudi Arabia,DF,23,18,0,0,87,1,1,0,4.6
PR283,M009,P283,Player_283,Saudi Arabia,DF,27,53,1,0,57,8,2,0,9.8
PR284,M009,P284,Player_284,Saudi Arabia,DF,26,60,0,0,66,1,0,0,4.9
PR285,M009,P285,Player_285,Saudi Arabia,MF,39,90,1,1,88,0,1,0,9.0
PR286,M009,P286,Player_286,Saudi Arabia,DF,19,92,0,0,65,5,3,0,7.1
PR287,M009,P287,Player_287,Saudi Arabia,MF,25,105,0,0,61,0,3,0,9.1
PR288,M009,P288,Player_288,Saudi Arabia,MF,34,32,0,0,56,7,0,0,8.8
PR289,M010,P289,Player_289,Algeria,DF,17,8,0,0,64,2,1,0,8.9
PR290,M010,P290,Player_290,Algeria,DF,37,83,0,0,55,4,6,0,4.4
PR291,M010,P291,Player_291,Algeria,FW,23,116,0,0,91,7,6,0,4.8
PR292,M010,P292,Player_292,Algeria,FW,27,16,0,0,52,7,0,0,5.0
PR293,M010,P293,Player_293,Algeria,MF,40,51,0,1,81,0,3,0,8.1
PR294,M010,P294,Player_294,Algeria,DF,23,117,0,0,61,4,2,0,6.7
PR295,M010,P295,Player_295,Algeria,DF,36,80,0,0,89,3,5,0,5.8
PR296,M010,P296,Player_296,Algeria,DF,34,62,0,0,53,1,2,0,6.3
PR297,M010,P297,Player_297,Algeria,DF,37,114,0,0,83,3,5,0,10.0
PR298,M010,P298,Player_298,Algeria,MF,17,49,1,0,95,5,3,0,7.3
PR299,M010,P299,Player_299,Algeria,MF,35,65,0,1,70,6,2,0,5.1
PR300,M010,P300,Player_300,Algeria,DF,24,4,0,0,67,0,6,0,9.9
PR301,M010,P301,Player_301,Algeria,MF,35,30,0,0,60,1,1,0,7.9
PR302,M010,P302,Player_302,Algeria,DF,40,8,0,0,98,3,4,0,9.1
PR303,M010,P303,Player_303,Algeria,MF,28,120,0,0,61,2,1,0,7.6
PR304,M010,P304,Player_304,Algeria,MF,39,46,0,0,87,0,5,0,8.2
PR305,M010,P305,Player_305,Uruguay,FW,35,19,0,0,86,3,6,0,9.9
PR306,M010,P306,Player_306,Uruguay,FW,32,70,0,1,69,2,3,0,4.2
PR307,M010,P307,Player_307,Uruguay,GK,36,29,0,0,51,8,3,0,6.0
PR308,M010,P308,Player_308,Uruguay,MF,21,44,0,0,95,2,6,0,9.1
PR309,M010,P309,Player_309,Uruguay,DF,17,19,1,0,87,2,6,0,4.7
PR310,M010,P310,Player_310,Uruguay,MF,28,10,0,0,73,6,4,0,4.6
PR311,M010,P311,Player_311,Uruguay,DF,21,21,0,0,96,6,6,0,7.8
PR312,M010,P312,Player_312,Uruguay,MF,27,23,0,0,95,8,5,0,9.3
PR313,M010,P313,Player_313,Uruguay,MF,28,29,0,0,92,2,3,0,5.8
PR314,M010,P314,Player_314,Uruguay,MF,21,23,0,0,96,0,5,0,9.7
PR315,M010,P315,Player_315,Uruguay,DF,35,5,1,0,61,5,6,0,9.8
PR316,M010,P316,Player_316,Uruguay,DF,35,14,1,0,81,2,2,0,8.5
PR317,M010,P317,Player_317,Uruguay,DF,27,22,0,0,90,1,6,0,8.3
PR318,M010,P318,Player_318,Uruguay,MF,27,58,0,0,50,4,1,0,5.5
